event_name,datetime,type,notes
Deccan Festival,2015-02-03 00:00:00,Cultural Festival,Approx early-February cultural events.
Deccan Festival,2015-02-04 00:00:00,Cultural Festival,Approx early-February cultural events.
Deccan Festival,2015-02-05 00:00:00,Cultural Festival,Approx early-February cultural events.
Deccan Festival,2015-02-06 00:00:00,Cultural Festival,Approx early-February cultural events.
Deccan Festival,2015-02-07 00:00:00,Cultural Festival,Approx early-February cultural events.
ACETECH / Trade Exhibitions (approx),2015-01-24 00:00:00,Trade/Exhibition,Trade shows / exhibitions often occur in Jan.
ACETECH / Trade Exhibitions (approx),2015-01-25 00:00:00,Trade/Exhibition,Trade shows / exhibitions often occur in Jan.
ACETECH / Trade Exhibitions (approx),2015-01-26 00:00:00,Trade/Exhibition,Trade shows / exhibitions often occur in Jan.
Hyderabad Marathon / Major Sports Events,2015-11-01 00:00:00,Sports,Annual marathon / sports events (dates vary).
Hyderabad Marathon / Major Sports Events,2015-11-02 00:00:00,Sports,Annual marathon / sports events (dates vary).
Ganesh Chaturthi Celebrations,2015-08-25 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2015-08-26 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2015-08-27 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2015-08-28 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2015-08-29 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2015-08-30 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2015-08-31 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2015-09-01 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2015-09-02 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2015-09-03 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2015-09-04 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2015-09-05 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Bathukamma Festival,2015-09-20 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2015-09-21 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2015-09-22 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2015-09-23 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2015-09-24 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2015-09-25 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2015-09-26 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2015-09-27 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2015-09-28 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2015-09-29 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2015-09-30 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Diwali Celebrations,2015-10-20 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Diwali Celebrations,2015-10-21 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Diwali Celebrations,2015-10-22 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Diwali Celebrations,2015-10-23 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Diwali Celebrations,2015-10-24 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Diwali Celebrations,2015-10-25 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Independence Day,2015-08-15 00:00:00,Public Holiday,National holiday (single day).
Republic Day,2015-01-26 00:00:00,Public Holiday,National holiday (single day).
Eid (Eid al-Fitr / Eid al-Adha) - approximate window,2015-06-01 00:00:00,Religious Holiday,Eid dates vary by lunar calendar; user should refine with exact dates.
Eid (Eid al-Fitr / Eid al-Adha) - approximate window,2015-06-02 00:00:00,Religious Holiday,Eid dates vary by lunar calendar; user should refine with exact dates.
Eid (Eid al-Fitr / Eid al-Adha) - approximate window,2015-06-03 00:00:00,Religious Holiday,Eid dates vary by lunar calendar; user should refine with exact dates.
Local Exhibitions / Fairs (misc),2015-03-01 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2015-03-02 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2015-03-03 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2015-03-04 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2015-03-05 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2015-03-06 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2015-03-07 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2015-03-08 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2015-03-09 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2015-03-10 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Numaish (All-India Industrial Exhibition),2016-01-01 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-02 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-03 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-04 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-05 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-06 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-07 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-08 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-09 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-10 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-11 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-12 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-13 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-14 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-15 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-16 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-17 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-18 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-19 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-20 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-21 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-22 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-23 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-24 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-25 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-26 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-27 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-28 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-29 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-30 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-01-31 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-01 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-02 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-03 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-04 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-05 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-06 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-07 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-08 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-09 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-10 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-11 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-12 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-13 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-14 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2016-02-15 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Hyderabad Literary Festival,2016-01-20 00:00:00,Festival/Literature,Approximate January dates; actual dates vary by year.
Hyderabad Literary Festival,2016-01-21 00:00:00,Festival/Literature,Approximate January dates; actual dates vary by year.
Hyderabad Literary Festival,2016-01-22 00:00:00,Festival/Literature,Approximate January dates; actual dates vary by year.
Hyderabad Literary Festival,2016-01-23 00:00:00,Festival/Literature,Approximate January dates; actual dates vary by year.
Hyderabad Literary Festival,2016-01-24 00:00:00,Festival/Literature,Approximate January dates; actual dates vary by year.
Hyderabad Literary Festival,2016-01-25 00:00:00,Festival/Literature,Approximate January dates; actual dates vary by year.
Hyderabad Literary Festival,2016-01-26 00:00:00,Festival/Literature,Approximate January dates; actual dates vary by year.
Hyderabad Literary Festival,2016-01-27 00:00:00,Festival/Literature,Approximate January dates; actual dates vary by year.
Deccan Festival,2016-02-01 00:00:00,Cultural Festival,Approx early-February cultural events.
Deccan Festival,2016-02-02 00:00:00,Cultural Festival,Approx early-February cultural events.
Deccan Festival,2016-02-03 00:00:00,Cultural Festival,Approx early-February cultural events.
Deccan Festival,2016-02-04 00:00:00,Cultural Festival,Approx early-February cultural events.
Deccan Festival,2016-02-05 00:00:00,Cultural Festival,Approx early-February cultural events.
Deccan Festival,2016-02-06 00:00:00,Cultural Festival,Approx early-February cultural events.
Deccan Festival,2016-02-07 00:00:00,Cultural Festival,Approx early-February cultural events.
ACETECH / Trade Exhibitions (approx),2016-01-24 00:00:00,Trade/Exhibition,Trade shows / exhibitions often occur in Jan.
ACETECH / Trade Exhibitions (approx),2016-01-25 00:00:00,Trade/Exhibition,Trade shows / exhibitions often occur in Jan.
ACETECH / Trade Exhibitions (approx),2016-01-26 00:00:00,Trade/Exhibition,Trade shows / exhibitions often occur in Jan.
Hyderabad Marathon / Major Sports Events,2016-11-01 00:00:00,Sports,Annual marathon / sports events (dates vary).
Hyderabad Marathon / Major Sports Events,2016-11-02 00:00:00,Sports,Annual marathon / sports events (dates vary).
Ganesh Chaturthi Celebrations,2016-08-25 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2016-08-26 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2016-08-27 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2016-08-28 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2016-08-29 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2016-08-30 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2016-08-31 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2016-09-01 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2016-09-02 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2016-09-03 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2016-09-04 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Ganesh Chaturthi Celebrations,2016-09-05 00:00:00,Religious Festival,Ganesh festival — dates vary by lunar calendar; approximate window.
Bathukamma Festival,2016-09-20 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2016-09-21 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2016-09-22 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2016-09-23 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2016-09-24 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2016-09-25 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2016-09-26 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2016-09-27 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2016-09-28 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2016-09-29 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Bathukamma Festival,2016-09-30 00:00:00,Cultural/Festival,Regional Telangana flower festival (approx late Sept).
Diwali Celebrations,2016-10-20 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Diwali Celebrations,2016-10-21 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Diwali Celebrations,2016-10-22 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Diwali Celebrations,2016-10-23 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Diwali Celebrations,2016-10-24 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Diwali Celebrations,2016-10-25 00:00:00,Religious/Festival,Diwali date varies by lunar calendar; approximate window.
Independence Day,2016-08-15 00:00:00,Public Holiday,National holiday (single day).
Republic Day,2016-01-26 00:00:00,Public Holiday,National holiday (single day).
Eid (Eid al-Fitr / Eid al-Adha) - approximate window,2016-06-01 00:00:00,Religious Holiday,Eid dates vary by lunar calendar; user should refine with exact dates.
Eid (Eid al-Fitr / Eid al-Adha) - approximate window,2016-06-02 00:00:00,Religious Holiday,Eid dates vary by lunar calendar; user should refine with exact dates.
Eid (Eid al-Fitr / Eid al-Adha) - approximate window,2016-06-03 00:00:00,Religious Holiday,Eid dates vary by lunar calendar; user should refine with exact dates.
Local Exhibitions / Fairs (misc),2016-03-01 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2016-03-02 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2016-03-03 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2016-03-04 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2016-03-05 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2016-03-06 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2016-03-07 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2016-03-08 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2016-03-09 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Local Exhibitions / Fairs (misc),2016-03-10 00:00:00,Exhibition/Fair,Misc local exhibitions; dates vary.
Numaish (All-India Industrial Exhibition),2017-01-01 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2017-01-02 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2017-01-03 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2017-01-04 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
Numaish (All-India Industrial Exhibition),2017-01-05 00:00:00,Exhibition/Fair,Annual exhibition in Hyderabad (approx Jan 1 - Feb 15)
